id,prediction
7746,0
4202,0
6632,1
4639,1
4825,0
1076,1
5020,0
4267,0
4003,0
2519,1
1671,0
1962,0
6779,1
5640,1
119,0
2884,0
6666,1
1608,0
8263,0
6927,1
1650,0
3337,0
6664,1
8144,1
4233,0
4649,1
4553,0
9613,0
4301,1
5339,0
1595,1
4812,0
1982,1
3529,1
1954,1
4999,0
4001,1
9471,0
5707,0
5819,1
8404,1
8760,0
4745,1
8196,0
3422,1
1918,0
8980,1
6630,1
7995,0
563,1
1470,1
96,1
1569,0
6071,0
3458,0
8503,0
647,1
3095,0
9486,0
2133,1
9391,0
9579,0
4022,1
7070,1
7871,1
8310,1
6857,1
1188,1
6250,1
3014,0
2930,1
4791,1
2818,0
6227,0
3094,0
6798,1
5273,1
4246,1
3387,0
7295,0
932,0
7756,1
6192,1
8672,0
2755,1
6818,1
5009,1
3209,0
7824,0
7135,1
4977,1
8841,1
39,1
2441,1
3723,1
3,1
958,1
7162,1
9014,1
2543,0
8111,0
6631,1
3125,0
4052,1
5247,0
2138,1
3555,0
1479,1
4418,1
4002,1
965,1
4104,1
3955,0
4284,0
3205,0
9348,1
8231,1
6800,0
6754,1
7470,1
3312,0
7942,1
761,1
3787,0
2498,0
1483,1
2602,0
9299,1
908,0
6383,1
1578,1
668,0
7828,1
6448,1
8505,0
7537,1
2270,1
5378,1
6560,0
5728,0
1220,0
5987,1
8452,1
3026,1
7701,1
3118,1
2758,0
2025,1
8861,1
5196,0
8375,0
2002,1
2110,0
6178,1
2945,1
1413,0
9490,0
9118,0
1046,0
5813,0
360,0
7962,0
9104,0
1527,1
9058,1
321,0
7498,1
2619,0
4588,1
1731,0
4528,1
5255,1
9134,0
8535,1
4113,1
6657,1
8089,0
3001,0
7786,1
7159,1
7148,0
6885,0
4923,1
6064,0
1056,0
5628,1
6647,1
637,1
1765,1
7954,1
7410,0
6483,1
7538,1
7412,0
3592,1
6823,1
4707,1
8962,1
9203,0
8824,1
3620,1
7296,0
251,1
4147,1
4275,0
3064,0
5605,1
2715,0
9617,0
1313,0
1330,0
4397,1
3044,0
1684,1
7676,1
1599,0
14,0
8072,0
1862,1
8727,0
4393,1
4827,1
8358,0
7194,1
3131,0
4100,1
346,1
5749,1
6499,0
2288,1
7398,1
483,0
5417,0
487,1
7726,0
9465,0
7625,0
673,1
6086,0
2870,1
4872,0
5314,1
8112,0
3370,1
6108,1
8253,1
1020,1
2973,1
2753,0
7166,1
8223,1
6117,1
7838,1
5547,1
5798,0
29,1
7923,0
7452,1
1741,0
316,1
4738,1
80,1
2210,1
4965,0
4773,1
